school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Ave Maria,DS,24,82,6,0.07,1,30,.167,13,0.16,17,0.21,261,23,196,2.39,0,0,0,0.00,23.0,0.3
Ave Maria,MB,24,88,196,2.23,41,432,.359,9,0.10,11,0.13,2,0,42,0.48,10,85,95,1.08,259.5,2.9
Ave Maria,LB,24,88,6,0.07,7,50,-.020,74,0.84,19,0.22,462,23,415,4.72,0,0,0,0.00,25.0,0.3
Ave Maria,DS,21,65,24,0.37,16,114,.070,5,0.08,9,0.14,95,2,59,0.91,0,9,9,0.14,37.5,0.6
Ave Maria,OH,22,79,265,3.35,75,594,.320,6,0.08,0,0.00,80,8,42,0.53,6,38,44,0.56,290.0,3.7
Ave Maria,OH,24,85,212,2.49,97,640,.180,5,0.06,0,0.00,201,13,60,0.71,3,19,22,0.26,224.5,2.6
Ave Maria,DS,17,36,2,0.06,1,10,.100,6,0.17,10,0.28,86,8,45,1.25,0,0,0,0.00,12.0,0.3
Ave Maria,S,19,63,70,1.11,50,222,.090,255,4.05,16,0.25,7,2,120,1.90,6,35,41,0.65,109.5,1.7
Ave Maria,OH,10,25,15,0.60,25,106,-.094,3,0.12,0,0.00,3,0,16,0.64,0,7,7,0.28,18.5,0.7
Ave Maria,S,23,85,81,0.95,40,304,.135,622,7.32,21,0.25,11,1,213,2.51,7,47,54,0.64,132.5,1.6
Ave Maria,MB,24,88,227,2.58,63,485,.338,7,0.08,0,0.00,6,1,25,0.28,10,69,79,0.90,271.5,3.1
Ave Maria,S,12,26,0,0.00,1,2,-.500,10,0.38,0,0.00,21,2,27,1.04,0,0,0,0.00,0.0,0.0
Ave Maria,DS,24,82,3,0.04,1,23,.087,8,0.10,28,0.34,268,20,193,2.35,0,0,0,0.00,31.0,0.4
Aquinas,MH,25,60,86,1.43,58,235,.119,2,0.03,5,0.08,2,0,18,0.30,6,32,38,0.63,113.0,1.9
Aquinas,S,30,115,87,0.76,34,232,.228,1013,8.81,45,0.39,2,1,158,1.37,0,62,62,0.54,163.0,1.4
Aquinas,OH,28,96,162,1.69,92,530,.132,4,0.04,13,0.14,134,13,83,0.86,7,29,36,0.38,196.5,2.0
Aquinas,DS,28,93,12,0.13,3,26,.346,12,0.13,22,0.24,149,18,72,0.77,0,1,1,0.01,34.5,0.4
Aquinas,DS,31,105,9,0.09,8,32,.031,9,0.09,31,0.30,361,40,165,1.57,0,0,0,0.00,40.0,0.4
Aquinas,MH,10,21,26,1.24,10,55,.291,1,0.05,0,0.00,0,0,8,0.38,4,3,7,0.33,31.5,1.5
Aquinas,MH,19,52,71,1.37,37,189,.180,0,0.00,3,0.06,2,1,7,0.13,3,49,52,1.00,101.5,2.0
Aquinas,DS,29,112,2,0.02,2,23,.000,54,0.48,61,0.54,493,50,306,2.73,0,0,0,0.00,63.0,0.6
Aquinas,OH,5,12,16,1.33,5,43,.256,0,0.00,4,0.33,10,0,13,1.08,0,0,0,0.00,20.0,1.7
Aquinas,MH,30,119,293,2.46,103,732,.260,4,0.03,3,0.03,10,2,28,0.24,18,131,149,1.25,379.5,3.2
Aquinas,DS,28,82,19,0.23,17,92,.022,14,0.17,14,0.17,312,22,133,1.62,2,1,3,0.04,35.5,0.4
Aquinas,MH,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0,0,0.00,0,0,0,0.00,0.0,0.0
Aquinas,OH,14,55,22,0.40,17,71,.070,28,0.51,29,0.53,271,28,175,3.18,1,2,3,0.05,53.0,1.0
Aquinas,MH,31,121,254,2.10,115,637,.218,8,0.07,18,0.15,24,3,64,0.53,11,84,95,0.79,325.0,2.7
Aquinas,S,29,100,31,0.31,28,135,.022,122,1.22,8,0.08,406,34,161,1.61,2,31,33,0.33,56.5,0.6
Aquinas,OH,30,119,337,2.83,158,928,.193,14,0.12,22,0.18,241,18,126,1.06,5,66,71,0.60,397.0,3.3
Antelope Valley,D,11,19,1,0.05,0,3,.333,3,0.16,0,0.00,39,7,13,0.68,0,0,0,0.00,1.0,0.1
Antelope Valley,OH,19,64,178,2.78,112,712,.093,18,0.28,26,0.41,299,14,200,3.13,8,2,10,0.16,213.0,3.3
Antelope Valley,S,7,11,0,0.00,1,3,-.333,12,1.09,0,0.00,8,1,5,0.45,0,0,0,0.00,0.0,0.0
Antelope Valley,LS,19,60,6,0.10,6,42,.000,27,0.45,9,0.15,288,23,181,3.02,0,0,0,0.00,15.0,0.3
Antelope Valley,S/OPP,20,57,22,0.39,18,75,.053,164,2.88,3,0.05,3,0,43,0.75,5,9,14,0.25,34.5,0.6
Antelope Valley,S/RS,8,9,0,0.00,0,2,.000,13,1.44,0,0.00,0,0,2,0.22,0,0,0,0.00,0.0,0.0
Antelope Valley,OH,19,64,77,1.20,38,308,.127,2,0.03,2,0.03,5,2,53,0.83,10,15,25,0.39,96.5,1.5
Antelope Valley,OH,6,9,0,0.00,0,1,.000,1,0.11,0,0.00,17,3,3,0.33,0,0,0,0.00,0.0,0.0
Antelope Valley,M,21,69,54,0.78,52,252,.008,5,0.07,0,0.00,10,1,36,0.52,14,29,43,0.62,82.5,1.2
Antelope Valley,OH,14,41,24,0.59,23,109,.009,6,0.15,6,0.15,119,12,73,1.78,2,1,3,0.07,32.5,0.8
Antelope Valley,LIBERO/D,3,4,0,0.00,0,1,.000,0,0.00,0,0.00,1,0,1,0.25,0,0,0,0.00,0.0,0.0
Antelope Valley,S/OPP,21,61,10,0.16,13,71,-.042,254,4.16,8,0.13,20,3,149,2.44,1,3,4,0.07,20.5,0.3
Antelope Valley,OH/OPP,21,70,94,1.34,52,295,.142,13,0.19,12,0.17,19,3,48,0.69,12,15,27,0.39,125.5,1.8
Antelope Valley,LIBERO,20,64,9,0.14,4,85,.059,27,0.42,5,0.08,372,24,238,3.72,0,2,2,0.03,15.0,0.2
Antelope Valley,OH,21,68,100,1.47,67,411,.080,5,0.07,28,0.41,189,16,90,1.32,5,11,16,0.24,138.5,2.0
Antelope Valley,OH/OPP,17,30,6,0.20,8,33,-.061,0,0.00,0,0.00,14,1,10,0.33,0,2,2,0.07,7.0,0.2
Arizona Christian,LB,16,56,2,0.04,1,7,.143,9,0.16,26,0.46,151,10,109,1.95,0,0,0,0.00,28.0,0.5
Arizona Christian,MB,12,33,27,0.82,20,92,.076,0,0.00,0,0.00,5,2,7,0.21,3,20,23,0.70,40.0,1.2
Arizona Christian,OH,25,92,165,1.79,101,626,.102,22,0.24,36,0.39,574,46,272,2.96,3,18,21,0.23,213.0,2.3
Arizona Christian,DS,25,93,2,0.02,4,33,-.061,67,0.72,21,0.23,476,29,366,3.94,0,0,0,0.00,23.0,0.2
Arizona Christian,OH,13,27,22,0.81,14,109,.073,4,0.15,0,0.00,90,4,26,0.96,0,4,4,0.15,24.0,0.9
Arizona Christian,DS,21,75,0,0.00,3,11,-.273,21,0.28,20,0.27,256,30,176,2.35,0,0,0,0.00,20.0,0.3
Arizona Christian,MB,16,36,30,0.83,21,102,.088,1,0.03,1,0.03,12,3,6,0.17,0,16,16,0.44,39.0,1.1
Arizona Christian,OH,22,68,66,0.97,36,190,.158,2,0.03,0,0.00,3,0,22,0.32,4,35,39,0.57,87.5,1.3
Arizona Christian,S,24,83,18,0.22,4,53,.264,375,4.52,19,0.23,3,1,146,1.76,0,0,0,0.00,37.0,0.4
Arizona Christian,RS,24,81,211,2.60,99,666,.168,6,0.07,0,0.00,5,0,46,0.57,4,53,57,0.70,241.5,3.0
Arizona Christian,OH,25,81,141,1.74,96,483,.093,7,0.09,0,0.00,260,29,67,0.83,6,28,34,0.42,161.0,2.0
Arizona Christian,MB,23,74,96,1.30,42,310,.174,1,0.01,6,0.08,7,1,40,0.54,2,49,51,0.69,128.5,1.7
Arizona Christian,MB,25,92,202,2.20,90,573,.195,5,0.05,10,0.11,36,2,52,0.57,5,67,72,0.78,250.5,2.7
Arizona Christian,S,25,93,32,0.34,10,95,.232,435,4.68,19,0.20,6,1,163,1.75,0,4,4,0.04,53.0,0.6
Alice Lloyd,OH,23,75,75,1.00,32,283,.152,4,0.05,0,0.00,128,20,41,0.55,3,17,20,0.27,86.5,1.2
Alice Lloyd,S,26,86,8,0.09,6,85,.024,297,3.45,18,0.21,3,0,193,2.24,0,0,0,0.00,26.0,0.3
Alice Lloyd,DS,25,81,3,0.04,8,56,-.089,53,0.65,6,0.07,471,44,390,4.81,0,0,0,0.00,9.0,0.1
Alice Lloyd,OH,26,85,117,1.38,96,426,.049,4,0.05,0,0.00,76,16,47,0.55,3,12,15,0.18,126.0,1.5
Alice Lloyd,DS,26,86,1,0.01,4,15,-.200,11,0.13,11,0.13,289,41,172,2.00,0,0,0,0.00,12.0,0.1
Alice Lloyd,RS,23,75,1,0.01,1,10,.000,4,0.05,11,0.15,85,9,73,0.97,0,0,0,0.00,12.0,0.2
Alice Lloyd,DS,4,6,0,0.00,0,0,-,0,0.00,1,0.17,6,1,3,0.50,0,0,0,0.00,1.0,0.2
Alice Lloyd,OH,6,19,6,0.32,8,43,-.047,0,0.00,1,0.05,34,6,6,0.32,1,2,3,0.16,9.0,0.5
Alice Lloyd,S,24,72,2,0.03,2,19,.000,17,0.24,8,0.11,211,16,89,1.24,0,0,0,0.00,10.0,0.1
Alice Lloyd,OH,26,86,138,1.60,81,549,.104,4,0.05,32,0.37,96,17,90,1.05,13,23,36,0.42,194.5,2.3
Alice Lloyd,RS,24,80,123,1.54,77,477,.096,6,0.07,0,0.00,210,25,48,0.60,6,43,49,0.61,150.5,1.9
Alice Lloyd,S,25,82,7,0.09,6,50,.020,245,2.99,14,0.17,3,0,118,1.44,0,1,1,0.01,21.5,0.3
Alice Lloyd,MH,4,4,0,0.00,1,3,-.333,0,0.00,0,0.00,0,0,0,0.00,0,1,1,0.25,0.5,0.1
Alice Lloyd,OH,10,23,16,0.70,19,90,-.033,0,0.00,0,0.00,33,2,7,0.30,1,5,6,0.26,19.5,0.8
Alice Lloyd,MH,26,84,59,0.70,28,241,.129,4,0.05,0,0.00,11,2,14,0.17,8,34,42,0.50,84.0,1.0
Alice Lloyd,MH,23,75,134,1.79,74,418,.144,4,0.05,0,0.00,9,4,12,0.16,21,52,73,0.97,181.0,2.4
Benedictine Mesa,DS,27,94,1,0.01,2,12,-.083,4,0.04,0,0.00,260,17,144,1.53,0,0,0,0.00,1.0,0.0
Benedictine Mesa,L,27,102,3,0.03,4,32,-.031,108,1.06,16,0.16,504,31,492,4.82,0,0,0,0.00,19.0,0.2
Benedictine Mesa,RS,23,76,117,1.54,81,352,.102,5,0.07,0,0.00,28,1,55,0.72,5,20,25,0.33,132.0,1.7
Benedictine Mesa,OH,21,49,58,1.18,28,159,.189,7,0.14,5,0.10,25,3,22,0.45,0,8,8,0.16,67.0,1.4
Benedictine Mesa,OH,27,102,346,3.39,147,874,.228,15,0.15,43,0.42,275,15,179,1.75,6,17,23,0.23,403.5,4.0
Benedictine Mesa,S,26,99,13,0.13,4,34,.265,581,5.87,58,0.59,8,2,178,1.80,0,2,2,0.02,72.0,0.7
Benedictine Mesa,OH,27,102,363,3.56,150,994,.214,10,0.10,48,0.47,405,23,185,1.81,7,28,35,0.34,432.0,4.2
Benedictine Mesa,OH,26,100,234,2.34,89,661,.219,466,4.66,44,0.44,62,6,212,2.12,4,24,28,0.28,294.0,2.9
Benedictine Mesa,DS,26,83,1,0.01,0,10,.100,10,0.12,3,0.04,213,31,125,1.51,0,0,0,0.00,4.0,0.0
Benedictine Mesa,MB,21,66,37,0.56,18,101,.188,7,0.11,2,0.03,6,0,22,0.33,2,28,30,0.45,55.0,0.8
Benedictine Mesa,OH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benedictine Mesa,DS,13,26,0,0.00,0,1,.000,0,0.00,7,0.27,3,0,8,0.31,0,0,0,0.00,7.0,0.3
Benedictine Mesa,RS,6,11,0,0.00,1,4,-.250,1,0.09,2,0.18,6,0,9,0.82,0,0,0,0.00,2.0,0.2
Benedictine Mesa,RS,21,58,48,0.83,25,136,.169,11,0.19,3,0.05,4,0,28,0.48,3,28,31,0.53,68.0,1.2
Benedictine Mesa,MB,27,96,100,1.04,26,317,.233,29,0.30,9,0.09,7,1,49,0.51,14,44,58,0.60,145.0,1.5
Baker,S,17,44,0,0.00,0,0,-,6,0.14,5,0.11,37,0,35,0.80,0,0,0,0.00,5.0,0.1
Baker,OH,30,104,281,2.70,115,837,.198,8,0.08,8,0.08,335,30,95,0.91,9,25,34,0.33,310.5,3.0
Baker,RS,30,94,177,1.88,108,506,.136,3,0.03,1,0.01,5,0,32,0.34,7,26,33,0.35,198.0,2.1
Baker,OH,29,100,175,1.75,113,646,.096,10,0.10,18,0.18,413,46,108,1.08,1,22,23,0.23,205.0,2.0
Baker,LIB,30,104,4,0.04,7,23,-.130,53,0.51,21,0.20,501,48,359,3.45,0,0,0,0.00,25.0,0.2
Baker,S,13,40,2,0.05,2,12,.000,160,4.00,9,0.23,2,2,68,1.70,1,0,1,0.03,12.0,0.3
Baker,LIB,22,73,1,0.01,2,5,-.200,1,0.01,0,0.00,256,27,95,1.30,0,0,0,0.00,1.0,0.0
Baker,RS,28,84,69,0.82,50,274,.069,13,0.15,14,0.17,74,8,61,0.73,1,20,21,0.25,94.0,1.1
Baker,MB,21,74,204,2.76,61,426,.336,11,0.15,5,0.07,11,0,46,0.62,9,44,53,0.72,240.0,3.2
Baker,LIB,3,6,1,0.17,1,2,.000,0,0.00,0,0.00,0,0,1,0.17,0,0,0,0.00,1.0,0.2
Baker,MB,28,86,80,0.93,51,270,.107,3,0.03,2,0.02,3,1,18,0.21,4,42,46,0.53,107.0,1.2
