team,date,score,sets,kills,errors,total_attack,hitting_percentage,assists,service_aces,service_errors,reception,reception_errors,digs,block_solo,block_assist,block_error,total_block,ball_handling_error,points
Benedictine Mesa,Aug 19,"L, 3-2",5,53,30,174,.132,51,8,20,93,11,76,1,14,1,8,1,69.0
Benedictine Mesa,Aug 26,"L, 3-1",4,44,31,146,.089,47,8,4,88,9,74,0,4,1,2,0,54.0
Benedictine Mesa,Aug 26,"W, 3-2",5,56,30,200,.130,55,9,3,86,13,108,0,18,0,9,0,74.0
Benedictine Mesa,Aug 27,"W, 3-1",4,63,21,163,.258,63,11,6,87,11,78,1,6,0,4,0,78.0
Benedictine Mesa,Aug 27,"W, 3-0",3,46,15,121,.256,39,9,2,59,5,61,0,8,0,4,0,59.0
Benedictine Mesa,Sep 2,"W, 3-2",5,62,28,157,.217,59,11,6,82,7,69,0,10,0,5,2,78.0
Benedictine Mesa,Sep 3,"W, 3-1",4,43,25,150,.120,41,13,12,81,6,73,0,12,3,6,2,62.0
Benedictine Mesa,Sep 3,"L, 3-1",4,50,28,164,.134,47,7,7,88,5,69,1,6,2,4,0,61.0
Benedictine Mesa,Sep 8,"W, 3-0",3,39,19,124,.161,37,6,3,44,2,69,1,2,2,2,1,47.0
Benedictine Mesa,Sep 9,"W, 3-2",5,71,20,177,.288,68,6,11,82,9,90,1,4,0,3,1,80.0
Benedictine Mesa,Sep 15,"L, 3-2",5,59,32,150,.180,57,13,8,79,5,65,0,12,2,6,0,78.0
Benedictine Mesa,Sep 16,"W, 3-1",4,50,25,139,.180,49,13,6,64,4,70,2,10,1,7,1,70.0
Benedictine Mesa,Sep 17,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benedictine Mesa,Sep 22,"W, 3-0",3,43,16,120,.225,41,11,10,60,5,49,0,2,0,1,0,55.0
Benedictine Mesa,Sep 23,"W, 3-0",3,45,19,109,.239,38,6,10,59,8,56,0,0,0,0,0,51.0
Benedictine Mesa,Sep 24,"W, 3-0",3,41,17,117,.205,39,6,8,58,8,49,8,2,0,9,0,56.0
Benedictine Mesa,Sep 27,"W, 3-0",3,29,8,65,.323,29,17,5,21,0,36,0,6,0,3,1,49.0
Benedictine Mesa,Sep 29,"W, 3-2",5,51,20,150,.207,48,5,9,93,6,41,2,10,1,7,1,63.0
Benedictine Mesa,Oct 1,"W, 3-0",3,52,14,118,.322,49,7,3,58,5,58,1,6,0,4,1,63.0
Benedictine Mesa,Oct 13,"W, 3-0",3,35,14,89,.236,35,10,5,50,4,50,2,4,0,4,0,49.0
Benedictine Mesa,Oct 14,"L, 3-2",5,57,30,198,.136,57,10,16,93,7,98,6,2,1,7,0,74.0
Benedictine Mesa,Oct 15,"W, 3-0",3,42,13,97,.299,38,5,5,51,5,38,2,8,0,6,1,53.0
Benedictine Mesa,Oct 20,"W, 3-0",3,43,18,103,.243,41,9,11,53,3,43,3,11,0,9,0,60.5
Benedictine Mesa,Oct 22,"W, 3-1",4,53,19,120,.283,52,11,7,48,5,58,5,4,0,7,0,71.0
Benedictine Mesa,Oct 27,"W, 3-0",3,44,10,93,.366,41,4,5,43,2,34,1,8,1,5,0,53.0
Benedictine Mesa,Oct 28,"W, 3-0",3,38,16,116,.190,36,5,9,56,0,40,1,6,1,4,1,47.0
Benedictine Mesa,Oct 29,"W, 3-1",4,50,22,149,.188,47,14,5,57,3,79,1,10,0,6,0,70.0
Benedictine Mesa,Nov 4,"W, 3-2",5,62,36,180,.144,61,6,8,94,3,79,2,14,2,9,0,77.0
Benedictine Mesa,Nov 5,"W, 3-1",4,48,20,146,.192,45,16,9,87,6,61,2,12,0,8,1,72.0
Baker,Aug 19,"L, 3-1",4,37,26,129,.085,36,5,13,-,10,61,0,12,1,6,1,48.0
Baker,Aug 19,"W, 3-1",4,50,23,146,.185,47,9,12,-,7,62,1,18,1,10,0,69.0
Baker,Aug 20,"L, 3-0",3,20,12,41,.195,20,1,12,-,3,1,1,0,0,1,8,22.0
Baker,Aug 20,"W, 3-0",3,41,14,106,.255,40,11,6,-,6,45,1,10,3,6,2,58.0
Baker,Aug 24,"L, 3-0",3,26,23,106,.028,25,3,10,-,7,38,1,10,0,6,0,35.0
Baker,Aug 27,"L, 3-2",5,48,20,141,.199,45,4,14,-,20,78,1,6,1,4,2,56.0
Baker,Aug 27,"L, 3-2",5,64,29,175,.200,62,5,9,-,8,69,4,8,0,8,1,77.0
Baker,Aug 30,"L, 3-0",3,35,11,97,.247,33,3,7,-,11,43,0,10,0,5,0,43.0
Baker,Sep 6,"L, 3-0",3,23,15,79,.101,21,3,6,-,10,29,0,0,0,0,0,26.0
Baker,Sep 9,"L, 3-0",3,28,19,102,.088,28,1,3,-,4,45,1,6,1,4,0,33.0
Baker,Sep 10,"W, 3-0",3,39,10,90,.322,37,6,8,-,5,44,2,2,4,3,0,48.0
Baker,Sep 13,"L, 3-0",3,27,21,106,.057,27,3,8,-,6,35,1,6,0,4,1,34.0
Baker,Sep 16,"L, 3-0",3,23,14,90,.100,21,0,4,-,10,38,0,6,0,3,0,26.0
Baker,Sep 17,"L, 3-2",5,46,14,117,.274,45,7,15,-,9,55,3,8,1,7,7,60.0
Baker,Sep 20,"L, 3-0",3,26,15,81,.136,25,1,6,-,11,31,2,4,1,4,0,31.0
Baker,Sep 24,"W, 3-0",3,30,8,96,.229,29,5,12,-,7,49,3,12,0,9,1,44.0
Baker,Sep 27,"L, 3-0",3,26,20,108,.056,26,5,10,-,5,48,1,10,1,6,0,37.0
Baker,Oct 4,"L, 3-0",3,37,21,102,.157,36,1,7,-,7,31,2,10,1,7,0,45.0
Baker,Oct 6,"L, 2-0",3,25,18,84,.083,25,3,8,-,10,37,1,8,1,5,2,33.0
Baker,Oct 8,"L, 3-1",4,45,24,153,.137,42,7,9,-,10,67,0,14,0,7,1,59.0
Baker,Oct 11,"W, 3-2",5,69,31,155,.245,64,2,9,-,10,71,4,6,0,7,0,78.0
Baker,Oct 14,"W, 3-0",3,44,12,105,.305,40,3,14,-,4,51,4,14,0,11,0,58.0
Baker,Oct 15,"L, 3-0",3,29,15,83,.169,28,0,4,-,5,27,0,2,1,1,0,30.0
Baker,Oct 19,"L, 3-0",3,30,20,93,.108,29,7,7,-,6,38,0,4,5,2,3,39.0
Baker,Oct 21,"L, 3-1",4,38,16,118,.186,36,1,11,-,6,41,2,8,0,6,0,45.0
Baker,Oct 22,"L, 3-0",3,29,19,107,.093,26,2,7,-,6,48,0,2,3,1,1,32.0
Baker,Oct 22,"L, 3-1",4,41,15,145,.179,38,3,8,-,6,54,1,2,2,2,0,46.0
Baker,Oct 27,"L, 3-0",3,23,19,106,.038,22,2,6,-,12,48,1,10,6,6,0,31.0
Baker,Oct 29,"L, 3-0",3,26,23,100,.030,26,2,4,-,12,43,2,12,1,8,0,36.0
Baker,Nov 1,"L, 3-1",4,53,21,161,.199,51,10,20,-,5,68,2,6,1,5,1,68.0
Avila,Aug 19,"W, 3-1",4,48,20,147,.190,47,1,3,72,3,87,0,4,13,2,3,51.0
Avila,Aug 19,"L, 3-2",5,63,32,185,.168,60,2,4,95,8,83,4,10,0,9,2,74.0
Avila,Aug 20,"L, 3-0",3,32,19,102,.127,29,6,1,67,11,46,1,2,1,2,2,40.0
Avila,Aug 20,"W, 3-0",3,36,33,127,.024,36,7,0,62,5,68,1,14,0,8,2,51.0
Avila,Aug 23,"L, 3-0",3,22,20,105,.019,19,5,2,60,10,45,0,6,1,3,1,30.0
Avila,Aug 25,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Avila,Aug 27,"L, 3-1",4,37,24,130,.100,35,7,5,87,13,68,1,8,3,5,1,49.0
Avila,Aug 27,"W, 3-2",5,62,23,162,.241,58,8,6,92,5,74,1,20,3,11,1,81.0
Avila,Aug 30,"W, 3-1",4,56,24,187,.171,50,8,5,77,5,98,2,10,1,7,1,71.0
Avila,Sep 2,"W, 3-0",3,37,9,106,.264,29,4,6,47,6,50,4,6,2,7,0,48.0
Avila,Sep 2,"L, 3-0",3,28,18,109,.092,27,3,3,66,4,46,0,6,1,3,0,34.0
Avila,Sep 3,"L, 3-0",3,27,20,99,.071,27,0,8,66,5,44,1,2,0,2,0,29.0
Avila,Sep 3,"L, 3-1",4,34,21,139,.094,30,5,4,80,11,63,2,18,2,11,1,50.0
Avila,Sep 7,"W, 3-1",4,50,22,143,.196,50,6,4,74,5,72,1,12,0,7,5,63.0
Avila,Sep 13,"W, 3-0",3,38,12,80,.325,37,10,5,36,2,34,4,0,1,4,0,52.0
Avila,Sep 13,"L, 3-1",4,52,28,161,.149,50,4,11,92,4,70,2,0,5,2,0,58.0
Avila,Sep 16,"W, 3-0",3,31,5,91,.286,26,10,8,30,1,57,1,16,1,9,0,50.0
Avila,Sep 20,"L, 3-0",3,24,25,126,-.008,23,2,5,65,4,60,0,4,0,2,0,28.0
Avila,Sep 23,"L, 3-0",3,33,21,115,.104,31,6,4,70,6,40,1,6,0,4,0,43.0
Avila,Sep 24,"L, 3-0",3,43,19,118,.203,40,4,8,69,6,53,1,2,0,2,0,49.0
Avila,Sep 24,"L, 3-1",4,49,31,182,.099,45,9,7,89,2,83,0,6,0,3,1,61.0
Avila,Sep 27,"L, 3-0",3,39,25,107,.131,36,1,7,70,6,41,0,4,1,2,0,42.0
Avila,Oct 1,"L, 3-1",4,51,28,167,.138,45,2,7,80,6,67,1,10,1,6,1,59.0
Avila,Oct 5,"L, 3-0",3,24,16,95,.084,23,0,2,69,12,45,0,4,1,2,2,26.0
Avila,Oct 6,"W, 3-0",3,50,11,127,.307,43,1,3,53,5,74,0,16,0,8,4,59.0
Avila,Oct 11,"L, 3-1",4,40,21,151,.126,35,3,7,85,8,55,3,8,0,7,0,50.0
Avila,Oct 14,"W, 3-1",4,46,24,151,.146,46,12,5,77,10,86,2,14,2,9,2,67.0
Avila,Oct 14,"W, 3-0",3,48,9,111,.351,45,4,3,45,5,66,0,8,1,4,0,56.0
Avila,Oct 19,"L, 3-2",5,57,21,178,.202,54,14,8,101,7,61,2,18,0,11,0,82.0
Avila,Oct 22,"L, 3-2",5,45,26,201,.095,43,0,5,94,10,114,0,19,0,10,3,54.0
Avila,Oct 25,"W, 3-0",3,28,9,95,.200,24,5,5,40,2,49,4,0,1,4,1,37.0
Avila,Oct 28,"W, 3-0",3,42,8,110,.309,36,8,1,39,3,65,1,20,1,11,0,61.0
Avila,Oct 29,"W, 3-0",3,43,15,118,.237,42,3,3,55,2,56,2,10,1,7,1,53.0
Avila,Nov 2,"L, 3-0",3,36,23,150,.087,33,1,3,71,1,76,0,6,0,3,0,40.0
Avila,Nov 8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,Aug 19,"L, 3-1",4,36,26,130,.077,32,7,5,82,9,62,0,16,3,8,2,51.0
Bethany,Aug 19,"W, 3-2",5,56,30,179,.145,53,8,8,104,2,78,2,14,2,9,1,73.0
Bethany,Aug 20,"L, 3-1",4,23,18,63,.079,17,5,11,67,3,3,0,0,0,0,9,28.0
Bethany,Aug 20,"W, 3-0",3,27,9,40,.450,22,9,6,31,2,1,2,2,0,3,4,39.0
Bethany,Aug 26,"L, 3-0",3,19,19,93,.000,18,3,5,63,3,41,1,6,0,4,2,26.0
Bethany,Aug 26,"L, 3-0",3,18,18,90,.000,18,4,7,67,11,43,1,10,0,6,3,28.0
Bethany,Aug 27,"L, 3-0",3,24,16,90,.089,22,4,7,60,9,41,3,8,1,7,8,35.0
Bethany,Aug 27,"L, 3-1",4,39,22,119,.143,37,5,11,83,5,37,3,4,0,5,5,49.0
Bethany,Sep 3,"L, 3-1",4,40,19,169,.124,40,9,12,86,7,83,0,4,0,2,3,51.0
Bethany,Sep 3,"L, 3-1",4,36,26,158,.063,36,6,6,91,6,71,0,10,1,5,5,47.0
Bethany,Sep 6,"W, 3-0",3,39,19,116,.172,38,6,11,53,0,63,3,12,0,9,4,54.0
Bethany,Sep 7,"L, 3-1",4,44,28,211,.076,40,10,13,91,2,95,0,8,0,4,3,58.0
Bethany,Sep 10,"L, 3-1",4,40,11,133,.218,40,4,13,89,6,63,5,4,10,7,0,51.0
Bethany,Sep 10,"L, 3-1",4,35,29,156,.038,36,5,12,82,9,76,5,2,12,6,0,46.0
Bethany,Sep 16,"W, 3-0",3,29,13,123,.130,24,3,7,56,1,69,1,12,1,7,8,39.0
Bethany,Sep 21,"L, 3-2",5,51,28,183,.126,46,6,12,101,9,79,1,16,3,9,0,66.0
Bethany,Sep 23,"L, 3-1",4,36,22,145,.097,35,3,7,83,4,61,1,8,0,5,4,44.0
Bethany,Sep 27,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bethany,Oct 1,"W, 3-2",5,44,19,177,.141,42,9,11,93,5,100,8,2,0,9,20,62.0
Bethany,Oct 5,"L, 3-1",4,40,24,157,.102,38,7,10,89,4,63,2,12,1,8,1,55.0
Bethany,Oct 8,"L, 3-1",4,53,23,211,.142,49,2,11,93,3,111,2,14,0,9,3,64.0
Bethany,Oct 11,"L, 3-0",3,13,20,84,-.083,12,5,9,67,9,40,7,2,0,8,0,26.0
Bethany,Oct 15,"L, 3-0",3,26,20,106,.057,24,2,9,73,4,45,0,10,1,5,6,33.0
Bethany,Oct 19,"L, 3-1",4,36,16,123,.163,31,5,13,83,10,49,3,12,0,9,5,50.0
Bethany,Oct 22,"W, 3-2",5,64,28,225,.160,62,10,15,93,0,115,1,6,0,4,5,78.0
Bethany,Oct 29,"L, 3-0",3,30,18,125,.096,28,5,5,64,7,60,1,4,0,3,2,38.0
Bethany,Nov 2,"L, 3-2",5,50,29,165,.127,46,8,11,102,4,74,2,30,1,17,3,75.0
Bethany,Nov 5,"W, 3-1",4,46,21,169,.148,43,7,7,76,2,85,3,8,0,7,4,60.0
Alice Lloyd,Sep 6,"W, 3-0",3,29,12,92,.185,28,7,7,46,7,50,2,12,1,8,0,44.0
Alice Lloyd,Sep 10,"W, 3-0",3,34,15,110,.173,34,3,8,59,5,56,2,8,0,6,0,43.0
Alice Lloyd,Sep 10,"W, 3-1",4,31,24,132,.053,28,5,3,75,4,54,3,14,7,10,0,46.0
Alice Lloyd,Sep 13,"L, 3-0",3,16,19,95,-.032,16,7,3,69,9,42,2,8,3,6,0,29.0
Alice Lloyd,Sep 14,"L, 3-1",4,22,23,132,-.008,19,4,3,86,19,63,6,2,0,7,0,33.0
Alice Lloyd,Sep 20,"L, 3-0",3,21,17,105,.038,20,6,8,71,9,47,2,8,0,6,0,33.0
Alice Lloyd,Sep 23,"L, 3-1",4,34,18,134,.119,32,2,6,81,9,86,0,2,3,1,0,37.0
Alice Lloyd,Sep 24,"L, 3-0",3,18,15,83,.036,14,1,0,68,14,25,4,4,0,6,1,25.0
Alice Lloyd,Sep 27,"L, 3-0",3,28,13,102,.147,28,3,4,71,9,41,1,6,0,4,0,35.0
Alice Lloyd,Sep 30,"W, 3-0",3,34,16,100,.180,27,7,3,0,2,47,0,9,1,5,3,45.5
Alice Lloyd,Sep 30,"L, 3-1",4,44,19,112,.223,42,7,3,86,10,48,8,0,15,8,0,59.0
Alice Lloyd,Oct 1,"L, 3-0",3,20,12,66,.121,19,1,6,63,17,39,0,16,0,8,1,29.0
Alice Lloyd,Oct 7,"L, 3-0",3,24,19,93,.054,22,2,6,66,8,41,1,2,1,2,0,28.0
Alice Lloyd,Oct 8,"W, 3-2",5,42,24,206,.087,40,15,7,85,8,117,11,16,3,19,0,76.0
Alice Lloyd,Oct 8,"L, 3-0",3,14,13,63,.016,13,0,0,69,14,23,1,6,1,4,0,18.0
Alice Lloyd,Oct 11,"W, 3-0",3,31,11,104,.192,30,2,6,0,3,54,0,6,0,3,2,36.0
Alice Lloyd,Oct 14,"L, 3-0",3,35,18,128,.133,34,6,2,70,7,63,1,8,4,5,1,46.0
Alice Lloyd,Oct 15,"L, 3-0",3,29,15,106,.132,28,2,4,68,12,54,0,6,0,3,0,34.0
Alice Lloyd,Oct 18,"L, 3-0",3,17,18,87,-.011,17,1,3,65,5,41,1,7,0,5,1,22.5
Alice Lloyd,Oct 21,"W, 3-0",3,31,16,106,.142,30,9,4,56,4,50,1,8,1,5,0,45.0
Alice Lloyd,Oct 22,"L, 3-0",3,17,16,82,.012,17,2,4,63,15,37,0,6,1,3,0,22.0
Alice Lloyd,Oct 28,"L, 3-1",4,38,26,157,.076,34,5,11,89,8,80,1,12,0,7,0,50.0
Alice Lloyd,Oct 29,"L, 3-1",4,31,23,137,.058,31,1,4,88,9,54,1,14,1,8,0,40.0
Alice Lloyd,Nov 1,"L, 3-0",3,16,10,75,.080,16,3,4,68,11,27,0,4,4,2,1,21.0
Alice Lloyd,Nov 4,"L, 3-0",3,13,17,75,-.053,13,0,1,68,8,31,3,4,1,5,0,18.0
Alice Lloyd,Nov 5,"L, 3-0",3,21,14,83,.084,21,1,7,68,10,34,5,2,0,6,0,28.0
Ave Maria,Aug 26,"L, 3-2",5,45,41,208,.019,44,5,9,101,3,102,0,22,1,11,0,61.0
Ave Maria,Aug 26,"L, 3-1",4,47,23,164,.146,45,3,8,89,8,80,1,10,0,6,0,56.0
Ave Maria,Aug 27,"W, 3-1",4,55,19,167,.216,52,3,1,78,3,86,1,8,0,5,0,63.0
Ave Maria,Aug 27,"W, 3-0",3,41,9,103,.311,41,11,4,51,8,54,1,18,1,10,0,62.0
Ave Maria,Aug 30,"W, 3-0",3,35,11,85,.282,29,9,4,28,2,39,1,10,0,6,0,50.0
Ave Maria,Sep 2,"W, 3-0",3,39,16,120,.192,35,3,3,55,4,65,3,16,3,11,0,53.0
Ave Maria,Sep 2,"W, 3-0",3,40,16,103,.233,38,3,4,52,4,53,2,17,0,11,0,53.5
Ave Maria,Sep 3,"W, 3-0",3,39,14,96,.260,36,7,8,53,4,51,0,14,1,7,0,53.0
Ave Maria,Sep 3,"W, 3-0",3,35,10,85,.294,32,8,4,33,1,49,3,6,2,6,0,49.0
Ave Maria,Sep 14,"W, 3-2",5,53,28,173,.145,51,4,4,92,4,80,2,16,0,10,1,67.0
Ave Maria,Sep 17,"W, 3-1",4,55,23,132,.242,47,7,7,76,11,65,2,14,0,9,1,71.0
Ave Maria,Sep 21,"W, 3-0",3,35,8,83,.325,33,7,5,46,2,38,0,18,0,9,0,51.0
Ave Maria,Sep 27,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ave Maria,Oct 5,"W, 3-2",5,59,24,158,.222,51,2,4,86,9,74,0,30,1,15,0,76.0
Ave Maria,Oct 8,"W, 3-0",3,31,12,76,.250,30,9,3,51,11,30,0,4,0,2,0,42.0
Ave Maria,Oct 12,"L, 3-2",5,57,34,192,.120,55,3,7,94,3,98,12,8,1,16,0,76.0
Ave Maria,Oct 13,"W, 3-0",3,37,11,77,.338,33,7,3,35,1,37,1,14,0,8,1,52.0
Ave Maria,Oct 15,"W, 3-0",3,49,11,106,.358,46,5,6,46,4,54,3,10,0,8,2,62.0
Ave Maria,Oct 19,"L, 3-1",4,51,18,166,.199,46,4,3,83,5,92,3,12,0,9,0,64.0
Ave Maria,Oct 22,"W, 3-0",3,39,16,97,.237,38,5,5,42,4,44,0,4,0,2,0,46.0
Ave Maria,Oct 26,"W, 3-1",4,58,16,133,.316,54,4,6,75,7,54,2,2,1,3,2,65.0
Ave Maria,Oct 28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
