rank,team,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
1,Alice Lloyd,26,86,690,8.02,443,2765,.089,653,7.59,102,1.19,1698,236,1304,15.16,56,190,151,1.76,943.0,11.0
2,Antelope Valley,22,73,613,8.40,417,2580,.076,586,8.03,103,1.41,1547,152,1218,16.68,59,90,104,1.42,820.0,11.2
3,Aquinas,33,130,1427,10.98,687,3961,.187,1287,9.90,278,2.14,2435,245,1519,11.68,60,491,306,2.35,2010.5,15.5
4,Arizona Christian,26,97,1062,10.95,573,3505,.140,1002,10.33,164,1.69,1979,170,1558,16.06,27,300,177,1.82,1403.0,14.5
5,Ave Maria,24,88,1107,12.58,418,3012,.229,1023,11.63,131,1.49,1512,111,1454,16.52,42,309,197,2.23,1434.5,16.3
6,Avila,33,117,1351,11.55,662,4375,.157,1254,10.72,161,1.38,2275,193,2096,17.91,42,289,187,1.59,1698.0,14.5
7,Baker,30,104,1078,10.37,548,3322,.160,1030,9.90,115,1.11,-,238,1395,13.41,41,226,154,1.48,1347.0,13.0
8,Bellevue,31,110,1574,14.31,581,4133,.240,1474,13.40,159,1.45,2101,122,1943,17.66,52,411,258,2.34,1990.5,18.1
9,Benedictine,30,107,1393,13.02,608,4128,.190,1335,12.48,167,1.56,2135,142,1834,17.14,34,253,161,1.50,1720.0,16.1
10,Benedictine Mesa,28,108,1369,12.68,596,3835,.202,1310,12.13,256,2.37,1914,157,1771,16.40,43,211,149,1.38,1773.5,16.4
11,Bethany,27,104,994,9.56,571,3740,.113,929,8.93,157,1.51,2122,136,1708,16.42,57,236,175,1.68,1326.0,12.8
12,Bethel (IN),31,113,1410,12.48,591,3647,.225,1301,11.51,185,1.64,2024,173,1480,13.10,89,375,277,2.45,1871.5,16.6
13,Bethel (KS),29,106,1281,12.08,605,3840,.176,1182,11.15,164,1.55,1687,150,1861,17.56,54,280,194,1.83,1639.5,15.5
14,Bethel (TN),29,110,1369,12.45,645,3758,.193,1256,11.42,181,1.65,2047,167,1634,14.85,58,228,172,1.56,1722.0,15.7
15,Blue Mountain,30,100,1233,12.33,477,3421,.221,1127,11.27,308,3.08,1448,72,1692,16.92,65,227,179,1.78,1719.5,17.2
16,Bluefield,30,109,1372,12.59,557,4040,.202,1283,11.77,166,1.52,2069,164,1898,17.41,55,252,181,1.66,1719.0,15.8
17,Brenau,29,110,1294,11.76,675,4031,.154,1229,11.17,211,1.92,-,179,1747,15.88,26,181,117,1.06,1621.5,14.7
